system:index,LST,NDVI,VV,lon,lat
0_43_0,-15.727842084999978,0.58728766,-8.27257347184099,100.58952767574652,-0.5792786109644735
0_1373_0,-15.62102895999999,0.29740468,-9.982250549642508,100.58898868657604,-0.5817040622315962
1_1_0,-10.210303299999964,0.1802465,-6.767042717796429,100.99969843447549,-1.2592134495145393
1_5_0,-7.451961159999996,0.4081352,-11.513837681855485,101.01371215290776,-1.1053320413448653
1_7_0,2.5337842700000124,0.3317129,-8.879354081742939,101.02125800129436,-0.9587269869765594
1_14_0,-9.195151359999954,0.16244727,-2.6556255603708463,101.0013154019869,-1.2775390813105776
1_15_0,0.87433556000002,0.33993196,-7.6942149337806045,100.96116070878676,-1.08943186081595
1_16_0,-7.410944919999963,0.40925765,-10.023324391805168,101.04551251396559,-1.1126083951462336
1_17_0,-2.605208800000014,0.49633628,-5.383409180752166,101.05413634069313,-0.9991511747619378
1_18_0,-12.31238559999997,0.36346012,-5.659358290064812,100.82587442699837,-1.2061230162230756
1_23_0,6.8319444200000135,0.42222977,-8.804657393034018,100.61054825339491,-0.8999771673951427
1_32_0,-18.04782315999998,0.49146637,-6.981652356187191,100.95334536581493,-1.145486734545008
1_33_0,-3.490475979999985,0.4923196,-5.872619361404848,100.63615023899231,-1.096438720032082
1_35_0,7.5052943599999935,0.48087594,-9.943699054776904,100.65905727873736,-1.0282565899674103
1_36_0,-10.44272866,0.46788293,-5.16026982401984,100.56096124971151,-1.0088529798304287
1_37_0,0.0676828400000317,0.40760714,-6.377683491182903,100.6660641379535,-1.0455042434225053
1_44_0,-4.184334039999953,0.44826388,-10.543742493492305,100.7954215388667,-1.1670463013638765
1_45_0,6.903722840000029,0.33056554,-6.134524103316599,101.22876883192598,-1.2322639909909536
1_47_0,-1.1217881199999624,0.2821815,-11.477630823883102,100.80108092515667,-1.0843114636964686
1_49_0,-14.007723520000011,0.40400183,-7.0201245209238525,100.79811648471907,-1.2177112833882175
1_50_0,2.038171370000015,0.30361384,-6.797691102769969,101.0395836330904,-0.9616914274141538
